"state","step","criteria","STL.STACK","knn","pls","ridge","svmLinear2","STACK","knn.1","pls.1","ridge.1","svmLinear2.1"
"amapa","10-step","MAPE",6.82865762470379,NA,NA,NA,NA,1.78915316639614,0.687988967273041,0.992888685396841,1.00654422260847,1.3934436758838
"amapa","10-step","RMSE",172.367769918585,211.851753414554,142.171453211438,141.718120816055,139.654462676766,160.979930432319,155.371480111235,170.38823711162,174.102742570101,140.961108172627
"amapa","11-step","MAE",72.460173971951,124.028342644344,99.3568620156491,97.6853517316978,56.662821656337,89.1777865886688,86.5757575757576,139.2926220738,136.039283246248,68.8347190228544
"amapa","11-step","MAPE",NA,NA,NA,NA,NA,0.718478661555427,0.687988967273041,0.992578308990838,1.00548672135543,1.39052936407029
"amapa","11-step","RMSE",133.816335168914,233.575248119406,143.284867079524,143.341502987048,140.320249231792,175.192548461679,155.37202310821,163.906123711179,164.861888654328,139.954986581644
"amapa","12-step","MAE",68.5415287067493,127.44277115489,103.882341537384,103.968275527581,60.5251021275325,101.341188439187,86.5606060606061,141.009840328072,143.491343618165,71.8443961201855
"amapa","12-step","MAPE",0.655009940100481,NA,NA,NA,NA,NA,0.675168454452529,0.992683791318101,1.00641671899993,1.3933734704577
"amapa","12-step","RMSE",182.458995980098,233.88913026412,144.171299750886,145.641211467545,140.984053816992,226.950426668454,155.372014242969,165.231399712941,169.280412186641,140.731435123587
"amazonas","1-step","MAE",423.028384526571,554.125812107282,1035.54882791292,1034.15434320368,949.445790401255,666.218562483788,640.602564102564,1014.43533852654,965.541233424357,864.21360229513
"amazonas","1-step","MAPE",0.553873312948511,0.622535218709672,Inf,Inf,0.887087306630479,2.02189408922865,0.75317282634096,Inf,Inf,Inf
"amazonas","1-step","RMSE",700.633085461035,833.154487754126,1763.94109430274,1768.90413071837,1853.04615729138,1472.29873113163,1407.33800641488,1862.48083166245,1860.27477259212,1942.26068842509
"amazonas","2-step","MAE",584.342258453369,784.135815933118,1182.78010089913,1186.19104254706,1138.21350513329,653.925834059715,756.083333333333,1252.39328223355,1228.51649046758,1117.23175361686
"amazonas","2-step","MAPE",0.568488273789279,0.654703901927438,Inf,Inf,1.21807976432404,3.16111615708318,0.870753172444831,Inf,Inf,Inf
"amazonas","2-step","RMSE",1006.12223115646,1216.95242345573,1925.81666583928,1939.96724038672,2139.86757075659,1515.91351220781,1665.14378417965,2251.14573783601,2228.52469456784,2390.20484696684
"amazonas","3-step","MAE",535.803880691528,667.262464224423,1114.19663158509,1114.013578847,1118.89617557869,1873.11554423968,739.50641025641,1219.36989543082,1188.45336611427,1168.54743234869
"amazonas","3-step","MAPE",0.505611093721601,0.622912726613048,Inf,Inf,1.16622489852164,6.72597107753953,0.871609901492685,Inf,Inf,Inf
"amazonas","3-step","RMSE",984.920215043284,1176.17441797818,1878.78012847324,1897.37926587757,2115.83362364112,3449.70689702191,1669.94280320505,2209.47769898529,2186.94441993435,2393.86198259707
"amazonas","4-step","MAE",484.005435943604,683.349983673298,1294.65492403469,1297.14822899334,1271.30097337243,585.579954226812,886.865384615385,1290.29051246944,1295.89069215043,1286.61060772408
"amazonas","4-step","MAPE",0.543596768014911,0.656474606065447,Inf,Inf,1.46509621066975,0.660391021664908,0.905556232615323,Inf,Inf,Inf
"amazonas","4-step","RMSE",717.716848126282,1071.47984895771,1994.23767802397,2011.71194344837,2288.83665197843,1333.51665629684,1718.59737242351,2332.10721938896,2337.74490834976,2589.75145487252
"amazonas","5-step","MAE",428.52811050415,625.6683663737,1332.96241100486,1340.73794248411,1193.56643786431,909.41741724809,835.00641025641,1135.27671130581,1134.10996218811,1076.51680988639
"amazonas","5-step","MAPE",0.542249655481466,0.636502211742014,Inf,Inf,1.10979024801377,5.97387398980206,0.708030488228667,Inf,Inf,Inf
"amazonas","5-step","RMSE",619.118514375049,879.200591766525,1955.66574571525,1961.4673530463,2023.88767199225,1789.09369248826,1531.1226687388,1935.08596716841,1972.90367591674,2116.43015671527
"amazonas","6-step","MAE",917.886400858561,728.965752702618,1251.02334980163,1259.41657547444,1142.61615269712,1026.98739466071,823.455128205128,1271.028635692,1237.62838855276,1166.48206075627
"amazonas","6-step","MAPE",0.652332825604521,0.662092347210585,Inf,Inf,Inf,3.77642383324033,0.701549502283953,Inf,Inf,Inf
"amazonas","6-step","RMSE",1709.90323804673,1337.43928878527,2110.61994523422,2126.42302905182,2201.48617777354,2126.04345531208,1610.74781550308,2268.31934420645,2242.4044987626,2388.38590918422
"amazonas","7-step","MAE",491.402180989583,786.56094858783,1340.23118897014,1367.46531255599,1286.50680846616,961.217378973961,973.576923076923,1303.46704972761,1280.77610314051,1201.91943171836
"amazonas","7-step","MAPE",0.503087051725001,0.687292059453308,Inf,Inf,1.73835790605134,3.0885273369459,0.871202898515676,Inf,Inf,Inf
"amazonas","7-step","RMSE",960.032995462764,1362.86341846012,2246.63038891429,2263.72623233619,2381.41670653555,2128.28672107867,1792.8604592195,2372.47993732075,2372.34642287546,2568.23813631555
"amazonas","8-step","MAE",631.919059753418,839.921754683326,1365.78126086244,1369.34557176318,1328.37452780185,732.947057803472,1033.91666666667,1319.99286452265,1326.84374777939,1282.09420128576
"amazonas","8-step","MAPE",0.681059744845649,0.722874401234415,Inf,Inf,1.79440438504792,0.905030090295874,0.990768114059934,Inf,Inf,Inf
"amazonas","8-step","RMSE",1112.0640050342,1372.17488281431,2248.22289299932,2263.99355178583,2387.255154547,1610.0120079939,1805.86518313652,2374.99841614499,2378.99843746156,2583.79807682454
"amazonas","9-step","MAE",664.172117869059,857.692958401238,1398.06611957074,1405.88974844059,1347.05740397377,934.338882803917,1033.82692307692,1315.7460847694,1317.51742187879,1289.42173295558
"amazonas","9-step","MAPE",0.691017626634813,0.730463206312039,Inf,Inf,1.81855571709212,1.55027672835163,1.02232200487978,Inf,Inf,Inf
"amazonas","9-step","RMSE",1221.53880034411,1376.79434566875,2255.1362850274,2271.85699649498,2388.63490303894,1868.43635285416,1805.85772877815,2374.11533242102,2377.75129858624,2583.93871700135
"amazonas","10-step","MAE",693.136103312174,864.14746292533,1451.48077668206,1474.75309800867,1366.15492564397,963.56310749054,1035.20512820513,1339.58050427291,1342.03089676267,1284.69429760095
"amazonas","10-step","MAPE",0.652936085215934,0.735293444574318,Inf,Inf,1.82094179267111,1.22767364340611,1.05434560677641,Inf,Inf,Inf
"amazonas","10-step","RMSE",1198.74862669841,1378.24746975476,2268.85175001854,2287.05711572125,2391.66597601452,1925.96792510753,1805.90172884369,2377.41603759226,2381.0694823017,2583.63002448837
"amazonas","11-step","MAE",517.616371154785,866.10266875279,1556.50780847869,1590.31689299587,1416.00911778741,790.620779673258,1029.05769230769,1389.61313077528,1392.28632087508,1299.43195434389
"amazonas","11-step","MAPE",0.567959329905083,0.73574331364954,1.18545339251034,1.21382046659158,1.8637854930249,1.57107213233412,1.02722658146433,Inf,Inf,4.50779528971029
"amazonas","11-step","RMSE",846.918907491738,1378.76400572097,2291.20620428109,2312.32367021271,2398.39867038174,1682.81810619006,1805.69158007317,2384.50174978731,2388.20394287536,2584.528425747
"amazonas","12-step","MAE",718.432105382284,854.676165759745,1631.47783341021,1657.35356380725,1440.65087293679,975.494675437609,1025.25641025641,1443.1610899739,1446.54147398486,1319.40355314148
"amazonas","12-step","MAPE",0.698491500408395,0.728867789271587,1.19289993236279,1.21822327382604,1.86742358906982,2.63598012331272,0.985921209174036,1.80413516267739,1.82057180928472,4.56375868647496
"amazonas","12-step","RMSE",1094.38854708189,1377.01410815962,2313.93731885388,2334.88478627945,2403.14433432068,1781.26955629195,1805.63724975756,2392.44464246467,2396.3351961982,2585.49844988444
"maranhao","1-step","MAE",317.595365444819,400.833311263831,411.875906123579,457.3202711778,413.993755458557,348.080251952012,446.282051282051,633.188843717291,639.630547051598,469.27145590595
"maranhao","1-step","MAPE",3.48894473830431,Inf,Inf,Inf,Inf,4.03351978824794,0.295912730984404,0.479802309783774,0.474499550295835,0.450303754486167
"maranhao","1-step","RMSE",472.166342502097,514.281443145581,575.883323631458,606.843705573584,582.650192875353,493.805856152308,689.594333769973,751.364235090059,758.113197791267,725.752614155413
"maranhao","2-step","MAE",288.333913882573,400.153377114734,322.587494220256,377.784103002416,404.880065130156,743.10870218277,697.769230769231,767.993400084546,775.07022094483,683.656182891465
"maranhao","2-step","MAPE",2.18922328780557,Inf,Inf,Inf,Inf,0.415131475472909,0.381352060024785,0.53790162311682,0.540514202724449,0.585527522231309
"maranhao","2-step","RMSE",475.26124447408,506.3783211376,436.70398001548,485.099995766896,591.369235741313,1339.38856520519,1003.39064869352,891.455105278819,894.045594211037,869.51259803874
"maranhao","3-step","MAE",435.20606803894,370.308215103951,437.295347509259,455.69073951408,440.724132808768,833.661494890849,700.916666666667,813.966310369867,845.380632518374,734.704452686207
"maranhao","3-step","MAPE",1.55641787325515,Inf,Inf,Inf,Inf,0.346429821401531,0.329352041812623,0.539871813026929,0.548914957271682,0.589970320270164
"maranhao","3-step","RMSE",656.661114898115,514.5313121093,549.149855452755,590.571735922282,587.097673669983,1411.04655415971,1169.37260336599,931.098555823495,951.432165433104,918.599225154484
"maranhao","4-step","MAE",383.893998851379,422.24397470447,566.928580870561,612.129225307224,624.924834855853,517.788429260254,664.826923076923,958.219768972491,946.241100876705,833.809779043265
